tag_id,name,category,count
1441877,eyewear_on_head,0,21425
563256,yellow_bow,0,21412
462583,between_legs,0,21395
453340,santa_costume,0,21354
401968,red_nails,0,21310
662952,headwear_removed,0,21192
390681,headset,0,21134
479146,sailor_dress,0,21061
9522,suzumiya_haruhi_no_yuuutsu,3,20988
531403,kemonomimi_mode,0,20972
12658,neon_genesis_evangelion,3,20958
571690,hair_scrunchie,0,20944
521712,ear_piercing,0,20940
376594,spikes,0,20908
2907,desk,0,20835
5474,ball,0,20821
592925,kaname_madoka,4,20796
656165,hand_on_own_face,0,20771
4596,halloween,0,20720
1388801,red_neckerchief,0,20706
384552,wading,0,20686
566116,scar_on_face,0,20659
4261,forest,0,20615
1379643,world_witches_series,3,20596
613195,blue_legwear,0,20552
592555,panties_under_pantyhose,0,20544
513317,fate/extra,3,20532
391680,horse_ears,0,20525
717927,short_hair_with_long_locks,0,20426
1568,yaoi,0,20389
634781,nontraditional_miko,0,20376
432529,sweater_vest,0,20305
392024,tray,0,20301
670636,multicolored_clothes,0,20207
488864,red_jacket,0,20185
1462527,nijisanji,3,20164
819964,pink_flower,0,20118
521477,half_updo,0,20100
438458,clenched_hands,0,20074
609,fish,0,20050
689532,low-tied_long_hair,0,20022
2447,camisole,0,20018
394151,plate,0,19968
460502,dual_wielding,0,19966
12245,saigyouji_yuyuko,4,19945
435433,red_gloves,0,19874
8243,flying,0,19870
572753,6+boys,0,19867
427143,komeiji_satori,4,19831
1373022,red-framed_eyewear,0,19811
3284,forehead,0,19796
470314,pencil_skirt,0,19771
486611,brown_gloves,0,19766
398273,long_legs,0,19691
459933,drinking_glass,0,19686
4648,teacup,0,19685
3943,smoke,0,19684
650560,fishnet_legwear,0,19649
658106,o-ring,0,19647
1452299,neck_bell,0,19646
615165,green_bow,0,19614
375441,dress_lift,0,19591
9311,zipper,0,19571
613208,red_legwear,0,19559
427674,epaulettes,0,19557
545992,high_heel_boots,0,19546
547132,extra_ears,0,19516
1631074,kaga_(kancolle),4,19474
376117,wide_hips,0,19429
611670,grey_shirt,0,19385
402062,!,0,19382
469517,doujin_cover,0,19370
497007,backlighting,0,19364
470798,pink_nails,0,19286
523327,starry_sky,0,19267
406964,floating,0,19214
584958,spoken_heart,0,19212
463127,white_bra,0,19178
479374,single_glove,0,19173
149799,happy_birthday,0,19111
10279,hair_rings,0,19068
1651,rain,0,19038
494669,spot_color,0,19017
11527,reflection,0,18982
643274,partially_submerged,0,18980
529213,maid_apron,0,18977
464538,bubble,0,18931
395218,inubashiri_momiji,4,18928
647129,black_necktie,0,18885
2169,innertube,0,18857
452086,lolita_fashion,0,18854
465145,tanlines,0,18853
434996,o_o,0,18819
460324,red_bikini,0,18798
486327,faceless,0,18784
491758,sleeves_rolled_up,0,18767
669624,contrapposto,0,18767
1258089,ribbon-trimmed_sleeves,0,18748
6175,cuffs,0,18725
616524,grey_skirt,0,18714
14946,eyeshadow,0,18693
615735,asymmetrical_legwear,0,18666
1275600,bright_pupils,0,18642
10402,bowl,0,18605
1916,cake,0,18544
520397,pink_skirt,0,18543
4145,spear,0,18530
617615,legs_apart,0,18515
1467541,umamusume,3,18493
380540,legs_up,0,18446
14442,walking,0,18408
1441886,under-rim_eyewear,0,18286
492380,jitome,0,18237
511594,arm_behind_back,0,18226
464578,skull,0,18203
602223,out_of_frame,0,18178
394305,curly_hair,0,18139
416676,denim_shorts,0,18135
549356,arm_at_side,0,18106
7585,new_year,0,18085
454379,=_=,0,18082
9872,pauldrons,0,18075
465382,crossdressing,0,18042
7450,gym_uniform,0,18039
610698,hat_ornament,0,18036
475720,short_ponytail,0,18016
1292999,spoken_ellipsis,0,18012
553367,turret,0,17993
15261,freckles,0,17986
106450,shield,0,17982
658950,holding_book,0,17952
494241,long_fingernails,0,17875
646879,brown_background,0,17851
534168,v_arms,0,17796
374849,school_bag,0,17792
1513844,pokemon_swsh,3,17786
15749,furry,0,17768
520555,older,0,17755
376923,black_wings,0,17657
626528,cropped_legs,0,17633
474194,toaru_majutsu_no_index,3,17632
1559,minigirl,0,17624
464566,monster,0,17624
1255562,folded_ponytail,0,17580
466881,sun_hat,0,17563
1373029,black-framed_eyewear,0,17557
427050,shiny_clothes,0,17530
